Property_ID,Micro_Market,Project_Name,Developer_Name,Unit_Size_Sqft,Configuration,Ticket_Price_Cr,Transaction_Type,Buyer_Type,Purchase_Quarter,Connectivity_Score,Amenity_Score,Possession_Status,Sales_Channel,NRI_Buyer,Locality_Infra_Score,Avg_Traffic_Time_Min,Buyer_Comments,Price_per_Sqft,Quarter_Number,Booking_Flag,Booking_Conversion_Helper
PROP000001,SARJAPUR ROAD,Project_0,RMZ,4025.0,4BHK,12.75084604,Primary,NRI,2025-03-31,7.990090587,5.46286299,Launch,Broker,yes,9.21249094,18,Loved the amenities!,31679.120596273293,1,1,1
PROP000002,INDIRANAGAR,Project_1,Puravankara,5760.0,3BHK,16.29215187,Primary,Other,2024-06-30,4.839023775,7.499766492,Under construction,NRI Desk,no,7.723898332,106,data_not_given,28284.98588541667,2,1,1
PROP000003,BANNERGHATTA ROAD,Project_2,Tata Housing,7707.0,4BHK,10.51772441,Primary,HNI,2023-12-31,8.131314878,8.66922724,Ready to move,Direct,yes,6.985492989,113,Agent was not responsive.,13646.976008823147,4,1,1
PROP000004,BELLARY ROAD,Project_3,Embassy,6192.0,3BHK,9.396367494,Primary,HNI,2024-03-31,7.501656534,5.720246087,Ready to move,Online,yes,6.100929073,106,Excellent location!,15175.012102713177,1,1,1
PROP000005,KORAMANGALA,Project_4,SNN Raj,7147.0,4BHK,15.34539244,Secondary,HNI,2024-12-31,4.525216497,8.609649312,Under construction,Broker,no,5.312510152,18,Too far from my office.,21471.096180215474,4,0,1
PROP000006,YELAHANKA,Project_5,Brigade,4290.0,4BHK,9.82,Secondary,HNI,2023-09-30,7.936067947,7.499766492,Launch,Online,no,5.15402679,16,Underpriced for location.,22890.44289044289,3,0,1
PROP000007,BANNERGHATTA ROAD,Project_6,Prestige,6776.0,5BHK+,10.89675235,Secondary,Other,2025-03-31,8.643117347,8.355237668,Under construction,Direct,no,9.791549611,74,Too far from my office.,16081.39366883117,1,0,1
PROP000008,WHITEFIELD,Project_7,Total Environment,5763.0,3BHK,9.357538944,Secondary,NRI,2025-03-31,6.78130648,9.565012719,Under construction,Direct,yes,9.054712546,31,data_not_given,16237.270421655387,1,0,1
PROP000009,SARJAPUR ROAD,Project_8,Prestige,5815.0,3BHK,12.29944941,Secondary,Other,2024-03-31,7.284163966,5.580441901,Under construction,NRI Desk,yes,8.552045592,68,data_not_given,21151.245760963026,1,0,1
PROP000010,JP NAGAR,Project_9,Puravankara,8675.0,4BHK,9.193310279,Primary,CXO,2023-09-30,9.964399438,7.759907198,Launch,Direct,yes,8.395690504,18,Too far from my office.,10597.4758259366,3,1,1
PROP000011,RAJAJINAGAR,Project_10,Godrej,8872.0,4BHK,15.22182382,Secondary,CXO,2024-06-30,8.518025004,7.499766492,Launch,Online,no,9.282135187,102,Will buy after possession.,17157.15038322813,2,0,1
PROP000012,SARJAPUR ROAD,Project_11,Brigade,8765.0,5BHK+,7.384787239,Secondary,NRI,2024-03-31,8.963026757,6.938918888,Launch,Broker,no,7.461677098,52,Will buy after possession.,8425.313450085569,1,0,1
PROP000013,KORAMANGALA,Project_12,SNN Raj,4606.0,5BHK+,11.0424633,Primary,Startup Founder,2024-03-31,9.061519794,6.727765625,Under construction,Online,yes,9.659270764,46,Underpriced for location.,23974.08445505862,1,1,1
PROP000014,KORAMANGALA,Project_13,Puravankara,5157.0,3BHK,15.16628527,Primary,Other,2023-12-31,9.796265512,9.905272739,Launch,Online,yes,6.19885272,55,Agent was not responsive.,29409.124044987395,4,1,1
PROP000015,YELAHANKA,Project_14,L&T Realty,6463.0,4BHK,13.85156318,Secondary,CXO,2024-06-30,7.788085397,9.70140206,Ready to move,NRI Desk,no,8.949488607,33,Too far from my office.,21432.095280829333,2,0,1
PROP000016,WHITEFIELD,Project_15,L&T Realty,4814.0,4BHK,70.0,Primary,NRI,2024-03-31,9.401200298,7.499766492,Under construction,Direct,no,9.850165456,33,Too far from my office.,145409.22309929374,1,1,1
PROP000017,INDIRANAGAR,Project_16,SNN Raj,3369.0,5BHK+,9.750864805,Secondary,NRI,2023-12-31,6.337615783,8.765686892,Launch,Direct,no,9.795283703,70,Great value for money.,28942.905327990506,4,0,1
PROP000018,YELAHANKA,Project_17,L&T Realty,6007.0,4BHK,9.045289663,Secondary,CXO,2024-03-31,8.793448012,5.186328168,Ready to move,NRI Desk,yes,9.25608495,77,Loved the amenities!,15057.91520392875,1,0,1
PROP000019,YELAHANKA,Project_18,Total Environment,6010.0,5BHK+,7.623657466,Primary,Other,2024-12-31,6.111030786,6.898633971,Ready to move,Broker,yes,8.652231911,118,Connectivity is poor.,12684.954186356073,4,1,1
PROP000020,RAJAJINAGAR,Project_19,Puravankara,7324.0,3BHK,9.627966273,Secondary,Startup Founder,2024-09-30,8.474530828,9.658974949,Ready to move,Online,yes,5.049365621,116,Will buy after possession.,13145.775905243037,3,0,1
PROP000021,JAYANAGAR,Project_20,L&T Realty,5976.0,3BHK,10.80441493,Primary,NRI,2023-06-30,8.204541039,8.11792598,Ready to move,Direct,no,7.530085893,58,Great value for money.,18079.67692436412,2,1,1
PROP000022,WHITEFIELD,Project_21,Prestige,8741.0,5BHK+,8.68,Secondary,CXO,2024-06-30,5.910686307,8.653824367,Ready to move,NRI Desk,yes,8.344246584,32,Underpriced for location.,9930.213934332456,2,0,1
PROP000023,DOMLUR,Project_22,SNN Raj,3133.0,5BHK+,7.901275336,Secondary,CXO,2025-03-31,5.130216203,9.281779868,Under construction,Broker,yes,9.14295355,51,Loved the amenities!,25219.519106287902,1,0,1
PROP000024,YELAHANKA,Project_23,Puravankara,4133.0,4BHK,13.11,Primary,HNI,2024-12-31,5.479547319,6.61818,Launch,Online,yes,9.312456038,56,Agent was not responsive.,31720.300024195498,4,1,1
PROP000025,MG ROAD,Project_24,L&T Realty,5996.5,3BHK,13.64,Primary,Other,2024-03-31,9.300782233,9.464121946,Under construction,Online,no,8.127972042,43,Agent was not responsive.,22746.602184607687,1,1,1
PROP000026,HENNUR ROAD,Project_25,Tata Housing,8974.0,4BHK,11.60077172,Secondary,Startup Founder,2024-09-30,6.222276918,7.652179959,Ready to move,Online,no,5.890031772,65,Connectivity is poor.,12927.091285937151,3,0,1
PROP000027,JAYANAGAR,Project_26,Godrej,7366.0,5BHK+,12.719069067561703,Primary,Startup Founder,2023-06-30,7.350916547,8.447685767,Launch,NRI Desk,yes,9.032850679,105,Loved the amenities!,17267.267265220882,2,1,1
PROP000028,DOMLUR,Project_27,Puravankara,5158.0,4BHK,12.05511842,Primary,Startup Founder,2023-12-31,7.395891573,7.135314685,Ready to move,NRI Desk,yes,9.646408901,56,Agent was not responsive.,23371.691392012406,4,1,1
PROP000029,ELECTRONIC CITY,Project_28,Brigade,4761.0,4BHK,10.99341907,Secondary,CXO,2023-06-30,7.252097104,7.472570276,Under construction,Online,yes,6.748744749,27,Great view from 15th floor.,23090.56725477841,2,0,1
